time,x,y,sigma
0,204.0,300.0,2.0
0,229.0,462.0,2.0
0,293.0,441.0,5.555555555555555
0,201.0,335.0,2.0
0,250.0,250.0,2.888888888888889
0,181.0,201.0,4.666666666666666
0,218.0,251.0,2.0
0,225.0,43.0,8.222222222222221
0,212.0,241.0,7.333333333333333
0,39.0,377.0,3.7777777777777777
0,375.0,56.0,4.666666666666666
0,71.0,123.0,2.0
0,213.0,30.0,2.0
0,223.0,23.0,2.0
0,210.0,23.0,2.0
0,231.0,413.0,4.666666666666666
0,33.0,334.0,3.7777777777777777
0,118.0,253.0,2.0
0,205.0,21.0,2.0
0,148.0,395.0,8.222222222222221
0,279.0,462.0,2.0
0,275.0,468.0,2.0
0,201.0,0.0,3.7777777777777777
0,142.0,242.0,2.0
0,25.0,394.0,2.0
0,282.0,460.0,2.0
0,93.0,447.0,5.555555555555555
0,207.0,0.0,2.0
0,300.0,434.0,2.0
0,174.0,501.0,4.666666666666666
0,101.0,454.0,4.666666666666666
0,151.0,491.0,2.888888888888889
0,171.0,281.0,3.7777777777777777
0,138.0,404.0,2.888888888888889
0,235.0,281.0,4.666666666666666
0,90.0,317.0,2.888888888888889
0,158.0,246.0,2.0
0,209.0,417.0,3.7777777777777777
0,183.0,267.0,2.0
0,128.0,224.0,2.0
0,112.0,437.0,5.555555555555555
0,202.0,424.0,2.0
0,197.0,424.0,2.0
0,74.0,447.0,2.0
0,235.0,342.0,6.444444444444445
0,182.0,494.0,2.0
0,196.0,146.0,2.0
0,30.0,507.0,2.0
0,233.0,425.0,2.0
0,346.0,310.0,2.0
1,205.0,300.0,2.0
1,213.0,238.0,2.0
1,292.0,440.0,4.666666666666666
1,201.0,335.0,2.0
1,228.0,461.0,2.0
1,301.0,449.0,2.0
1,174.0,200.0,2.0
1,217.0,249.0,2.888888888888889
1,250.0,249.0,2.888888888888889
1,206.0,415.0,2.0
1,181.0,200.0,4.666666666666666
1,142.0,242.0,2.0
1,225.0,42.0,8.222222222222221
1,201.0,446.0,2.0
1,204.0,20.0,2.0
1,223.0,23.0,2.0
1,213.0,32.0,2.888888888888889
1,275.0,469.0,2.0
1,374.0,58.0,4.666666666666666
1,210.0,23.0,2.0
1,34.0,335.0,2.888888888888889
1,39.0,378.0,3.7777777777777777
1,230.0,413.0,4.666666666666666
1,89.0,445.0,3.7777777777777777
1,147.0,395.0,7.333333333333333
1,157.0,398.0,2.888888888888889
1,71.0,122.0,2.0
1,201.0,0.0,3.7777777777777777
1,284.0,445.0,2.0
1,117.0,252.0,2.0
1,29.0,482.0,2.0
1,29.0,491.0,2.0
1,111.0,438.0,5.555555555555555
1,281.0,461.0,2.0
1,192.0,0.0,2.888888888888889
1,25.0,394.0,2.0
1,184.0,267.0,2.0
1,176.0,501.0,2.888888888888889
1,240.0,283.0,4.666666666666666
1,171.0,282.0,3.7777777777777777
1,89.0,316.0,2.888888888888889
1,233.0,425.0,2.0
2,201.0,447.0,2.0
2,208.0,298.0,2.0
2,229.0,461.0,2.0
2,293.0,440.0,3.7777777777777777
2,201.0,336.0,2.0
2,187.0,196.0,2.0
2,298.0,445.0,2.0
2,217.0,250.0,2.888888888888889
2,123.0,475.0,2.0
2,250.0,250.0,2.888888888888889
2,224.0,41.0,8.222222222222221
2,141.0,242.0,2.0
2,180.0,200.0,5.555555555555555
2,274.0,470.0,2.0
2,213.0,32.0,2.0
2,205.0,20.0,2.0
2,39.0,379.0,3.7777777777777777
2,26.0,425.0,2.0
2,222.0,23.0,2.0
2,376.0,60.0,4.666666666666666
2,0.0,488.0,2.0
2,33.0,334.0,3.7777777777777777
2,210.0,239.0,7.333333333333333
2,24.0,394.0,2.0
2,228.0,412.0,5.555555555555555
2,210.0,23.0,2.0
2,90.0,444.0,3.7777777777777777
2,188.0,268.0,2.0
2,283.0,450.0,3.7777777777777777
2,70.0,125.0,2.0
2,144.0,392.0,3.7777777777777777
2,188.0,0.0,2.0
2,211.0,416.0,3.7777777777777777
2,117.0,253.0,2.0
2,240.0,283.0,4.666666666666666
2,136.0,404.0,2.0
2,111.0,437.0,5.555555555555555
2,203.0,425.0,2.888888888888889
2,88.0,315.0,2.888888888888889
2,24.0,340.0,2.0
2,155.0,398.0,2.888888888888889
2,147.0,473.0,2.0
2,171.0,502.0,4.666666666666666
3,202.0,336.0,2.0
3,228.0,461.0,2.0
3,220.0,231.0,2.0
3,128.0,471.0,2.0
3,292.0,439.0,2.888888888888889
3,210.0,300.0,2.0
3,188.0,194.0,2.0
3,26.0,427.0,2.0
3,275.0,469.0,2.888888888888889
3,250.0,250.0,2.888888888888889
3,225.0,41.0,7.333333333333333
3,32.0,335.0,3.7777777777777777
3,223.0,24.0,2.0
3,141.0,242.0,2.0
3,205.0,19.0,2.0
3,39.0,378.0,3.7777777777777777
3,213.0,33.0,2.888888888888889
3,377.0,62.0,4.666666666666666
3,211.0,239.0,8.222222222222221
3,90.0,445.0,3.7777777777777777
3,210.0,23.0,2.0
3,229.0,413.0,4.666666666666666
3,177.0,199.0,6.444444444444445
3,212.0,418.0,2.888888888888889
3,22.0,390.0,2.0
3,69.0,123.0,2.0
3,280.0,451.0,2.0
3,90.0,315.0,2.0
3,117.0,252.0,2.0
3,186.0,0.0,2.0
3,27.0,249.0,2.0
3,23.0,341.0,2.0
3,172.0,281.0,4.666666666666666
3,111.0,437.0,5.555555555555555
3,147.0,396.0,10.0
3,151.0,490.0,2.888888888888889
3,174.0,502.0,2.888888888888889
3,243.0,283.0,4.666666666666666
3,127.0,223.0,2.0
4,214.0,303.0,2.0
4,229.0,462.0,2.0
4,202.0,336.0,2.0
4,291.0,438.0,2.0
4,249.0,249.0,2.888888888888889
4,286.0,446.0,3.7777777777777777
4,128.0,474.0,2.0
4,187.0,200.0,2.888888888888889
4,276.0,470.0,3.7777777777777777
4,39.0,378.0,3.7777777777777777
4,205.0,19.0,2.0
4,213.0,32.0,2.0
4,142.0,242.0,2.0
4,172.0,190.0,2.0
4,224.0,40.0,8.222222222222221
4,223.0,24.0,2.0
4,378.0,64.0,4.666666666666666
4,213.0,416.0,4.666666666666666
4,220.0,230.0,3.7777777777777777
4,210.0,23.0,2.0
4,31.0,335.0,4.666666666666666
4,90.0,444.0,3.7777777777777777
4,171.0,197.0,2.0
4,117.0,253.0,2.0
4,211.0,242.0,8.222222222222221
4,91.0,315.0,2.0
4,280.0,451.0,2.0
4,186.0,268.0,2.0
4,136.0,405.0,2.888888888888889
4,233.0,416.0,2.888888888888889
4,20.0,389.0,2.0
4,148.0,397.0,10.0
4,241.0,283.0,4.666666666666666
4,149.0,482.0,2.0
4,110.0,437.0,5.555555555555555
4,145.0,376.0,2.0
4,171.0,281.0,3.7777777777777777
5,0.0,486.0,2.0
5,228.0,461.0,2.0
5,202.0,336.0,2.0
5,213.0,307.0,2.0
5,223.0,228.0,2.0
5,249.0,250.0,2.888888888888889
5,142.0,242.0,2.0
5,185.0,201.0,2.0
5,288.0,442.0,2.0
5,276.0,468.0,5.555555555555555
5,204.0,19.0,2.0
5,284.0,449.0,2.888888888888889
5,213.0,33.0,2.888888888888889
5,224.0,41.0,7.333333333333333
5,39.0,378.0,3.7777777777777777
5,379.0,63.0,5.555555555555555
5,32.0,335.0,3.7777777777777777
5,90.0,444.0,3.7777777777777777
5,222.0,24.0,2.0
5,210.0,23.0,2.0
5,149.0,482.0,2.0
5,225.0,412.0,4.666666666666666
5,274.0,479.0,2.0
5,210.0,418.0,3.7777777777777777
5,217.0,228.0,2.0
5,136.0,404.0,2.888888888888889
5,239.0,284.0,3.7777777777777777
5,148.0,396.0,9.11111111111111
5,117.0,252.0,2.0
5,274.0,460.0,2.0
5,174.0,196.0,2.0
5,210.0,244.0,8.222222222222221
5,199.0,0.0,2.0
5,23.0,341.0,2.0
5,282.0,460.0,2.888888888888889
5,90.0,316.0,2.0
5,233.0,416.0,2.0
5,199.0,426.0,2.888888888888889
5,219.0,57.0,2.0
5,181.0,193.0,2.0
5,160.0,488.0,2.0
6,227.0,462.0,2.0
6,202.0,337.0,2.0
6,222.0,227.0,2.0
6,275.0,469.0,5.555555555555555
6,182.0,202.0,2.0
6,27.0,427.0,2.0
6,142.0,242.0,2.0
6,249.0,250.0,2.888888888888889
6,128.0,472.0,2.0
6,213.0,308.0,2.0
6,213.0,33.0,2.888888888888889
6,204.0,20.0,2.888888888888889
6,222.0,24.0,2.0
6,223.0,40.0,7.333333333333333
6,377.0,60.0,4.666666666666666
6,149.0,482.0,2.0
6,38.0,378.0,3.7777777777777777
6,209.0,23.0,2.0
6,211.0,416.0,4.666666666666666
6,31.0,335.0,4.666666666666666
6,174.0,196.0,2.0
6,90.0,445.0,3.7777777777777777
6,276.0,483.0,2.0
6,117.0,252.0,2.0
6,287.0,446.0,2.0
6,285.0,451.0,2.888888888888889
6,274.0,478.0,2.0
6,143.0,381.0,2.0
6,29.0,483.0,2.0
6,24.0,340.0,2.888888888888889
6,216.0,226.0,2.0
6,145.0,393.0,8.222222222222221
6,223.0,413.0,5.555555555555555
6,209.0,241.0,9.11111111111111
6,232.0,417.0,2.0
6,239.0,283.0,3.7777777777777777
6,70.0,123.0,2.0
6,109.0,437.0,5.555555555555555
6,127.0,223.0,2.0
6,196.0,145.0,2.0
6,169.0,281.0,3.7777777777777777
6,159.0,247.0,2.888888888888889
6,218.0,58.0,2.0
7,227.0,462.0,2.0
7,213.0,299.0,2.0
7,203.0,337.0,2.0
7,222.0,227.0,2.0
7,276.0,468.0,4.666666666666666
7,131.0,472.0,2.0
7,183.0,201.0,2.888888888888889
7,249.0,250.0,2.888888888888889
7,141.0,242.0,2.0
7,150.0,482.0,2.0
7,213.0,33.0,2.888888888888889
7,224.0,41.0,7.333333333333333
7,210.0,23.0,2.0
7,204.0,19.0,2.888888888888889
7,376.0,60.0,4.666666666666666
7,275.0,484.0,2.888888888888889
7,221.0,24.0,2.0
7,174.0,192.0,2.0
7,31.0,335.0,3.7777777777777777
7,69.0,125.0,2.0
7,29.0,485.0,2.0
7,39.0,378.0,3.7777777777777777
7,89.0,445.0,4.666666666666666
7,225.0,413.0,4.666666666666666
7,287.0,444.0,2.0
7,187.0,269.0,2.0
7,144.0,391.0,5.555555555555555
7,173.0,196.0,2.0
7,143.0,383.0,2.0
7,117.0,253.0,2.0
7,155.0,397.0,3.7777777777777777
7,211.0,418.0,2.888888888888889
7,210.0,240.0,9.11111111111111
7,284.0,453.0,2.0
7,169.0,281.0,3.7777777777777777
7,196.0,145.0,2.0
