timepoint,channel,mean_intensity,median_intensity,max_intensity,std_intensity,nonzero_pixels
0,0,616.1373189290365,729.0,13012,419.67154217681946,4718592
0,1,1627.2963590621948,2165.0,10934,939.6458834113912,4718592
0,2,959.370744228363,1204.0,8261,574.4152974935984,4718592
1,0,615.0509664217631,728.0,15688,419.421562471155,4718592
1,1,1627.2267527580261,2165.0,17188,939.636023696277,4718592
1,2,959.0912726720175,1204.0,9911,574.1962586635552,4718592
2,0,615.2221864064535,729.0,15688,419.8259899473991,4718575
2,1,1627.439948240916,2165.0,17188,939.9040723497116,4718592
2,2,958.3434047698975,1204.0,16188,574.2148082998885,4718444
3,0,615.2093380292257,729.0,15688,417.5122416851101,4718592
3,1,1627.0533153216045,2164.0,16975,939.562122470621,4718592
3,2,958.7773407300314,1204.0,16188,573.8201438811756,4718592
4,0,615.2014225323995,729.0,15688,417.4853007121894,4718592
4,1,1626.837663968404,2164.0,17188,939.4129715553021,4718592
4,2,958.5413559277853,1204.0,10968,573.4188242188717,4718592
5,0,614.2713553110758,728.0,15688,415.6215220463656,4718592
5,1,1627.2931553522747,2165.0,9759,939.6521052859664,4718592
5,2,958.9431743621826,1204.0,11840,573.8953174574748,4718592
6,0,613.8837304115295,728.0,15688,415.08629891146285,4718592
6,1,1627.1968291600544,2165.0,16155,939.6210298965773,4718592
6,2,958.3656401634216,1204.0,16188,573.3699341632015,4718471
7,0,614.0929147402445,728.0,15688,415.76389302834076,4718592
7,1,1627.4195075035095,2165.0,16252,939.7453438092533,4718592
7,2,959.2943253517151,1204.0,16188,574.5906700040864,4718437
8,0,612.9966667493185,728.0,15688,414.19604653163276,4718517
8,1,1628.2128721872966,2166.0,17188,940.4149126465002,4718592
8,2,957.1846550305685,1204.0,16188,572.3273185874478,4718477
9,0,613.3442549705505,728.0,15688,414.6021981130767,4718592
9,1,1628.2579828898113,2166.0,17188,940.3117375966759,4718592
9,2,957.7958162625631,1204.0,16188,572.8307478314159,4718467
10,0,613.0263665517172,728.0,15688,413.2386354809986,4718592
10,1,1628.1376622517903,2166.0,17188,940.2564002322955,4718592
10,2,958.4043025970459,1204.0,8700,573.2773057505294,4718592
11,0,613.2980260848999,728.0,15688,412.9999973290434,4718580
11,1,1627.5845783551533,2165.0,17188,939.8685798153537,4718592
11,2,958.2162504196167,1204.0,16188,573.3695213828462,4718470
12,0,612.3352972666422,728.0,15688,411.98473107717257,4718592
12,1,1627.9902722040813,2166.0,8260,940.0440514782526,4718592
12,2,958.1257759730021,1204.0,16188,572.8579034880595,4718592
13,0,612.2239786783854,728.0,15688,411.75391086102223,4718592
13,1,1628.5359977086384,2167.0,16120,940.3733108449316,4718592
13,2,958.2108200391134,1204.0,8176,572.9655765651443,4718592
14,0,612.3802692095438,728.0,15688,412.8106467404558,4718592
14,1,1628.4600726763408,2166.0,16628,940.3721318108203,4718592
14,2,957.9561425844828,1204.0,8348,572.5851232781108,4718592
15,0,612.5128447214762,728.0,15688,412.37951233433796,4718592
15,1,1628.7193423906963,2167.0,17188,940.5440043933706,4718592
15,2,957.5806369781494,1204.0,7864,572.2016279835046,4718592
16,0,612.4137717882792,728.0,15688,411.5689636331385,4718592
16,1,1628.8718256950378,2167.0,15133,940.5920019666667,4718592
16,2,957.5871073404948,1204.0,16188,572.6434652950132,4718592
17,0,612.565407594045,728.0,15688,411.7159290624245,4718592
17,1,1629.240557193756,2168.0,17188,940.8156780381514,4718592
17,2,957.4969809850057,1204.0,9820,572.0786706359795,4718592
18,0,612.2450041770935,728.0,13797,412.035063896032,4718592
18,1,1629.1434461275737,2167.0,10689,940.7157937645183,4718592
18,2,957.8549437522888,1204.0,8248,572.3618305655526,4718592
19,0,612.2457690238953,728.0,15688,411.86006119357603,4718592
19,1,1629.170986175537,2168.0,12060,940.7253162229578,4718592
19,2,957.4093921979269,1204.0,8824,571.9446636993378,4718592
20,0,612.3321596781412,728.0,15688,410.4087386857559,4718592
20,1,1629.145077864329,2167.0,17188,940.7355501296227,4718592
20,2,957.4908216794332,1204.0,16188,571.9717807661339,4718592
21,0,612.4459689458212,729.0,15688,410.4565146833885,4718592
21,1,1629.48224623998,2168.0,17084,940.9440294451967,4718592
21,2,956.6837428410848,1204.0,16188,571.7289297771244,4718592
22,0,612.0795245170593,728.0,15688,410.5408721701581,4718592
22,1,1629.7896896998088,2168.0,17188,941.1081516833434,4718592
22,2,957.12819480896,1204.0,16188,572.0767144155012,4718567
23,0,611.2318108876547,728.0,15688,409.2225373934646,4718592
23,1,1629.7244418462117,2168.0,11479,941.0555303545939,4718592
23,2,957.6227436065674,1204.0,8820,572.1581496871888,4718592
24,0,611.7706549962362,728.0,15688,409.63429536243774,4718592
24,1,1630.1227615674336,2169.0,17188,941.3464218179763,4718592
24,2,957.0983972549438,1204.0,16188,571.8854655485602,4718592
25,0,611.4687595367432,728.0,15688,409.58880894250257,4718592
25,1,1629.7205471992493,2168.0,17188,941.1288974185628,4718592
25,2,956.9776056607565,1204.0,16188,571.6882926351553,4718592
26,0,611.8640249570211,728.0,15688,410.5608527030877,4718592
26,1,1629.3736352920532,2168.0,14013,940.8487734064446,4718592
26,2,957.5353879928589,1204.0,8589,572.1766728351863,4718592
27,0,611.8115018208822,728.0,15688,410.4042723886938,4718592
27,1,1629.7297800381978,2168.0,13193,941.0554760388125,4718592
27,2,957.6651169459025,1204.0,12139,572.0923537223035,4718592
28,0,612.063312848409,729.0,15688,410.8243743448249,4718592
28,1,1630.0252458254497,2168.0,17188,941.2776849780471,4718592
28,2,957.6338098843893,1204.0,8834,571.8618729447611,4718592
29,0,612.0497508049011,728.0,15688,413.3542650847452,4718592
29,1,1630.353151957194,2169.0,17188,941.4391726620864,4718592
29,2,957.4137167930603,1204.0,16188,572.1299489746648,4718592
30,0,611.3763289451599,728.0,15688,412.0974282737976,4718592
30,1,1630.4364988009136,2169.0,17188,941.5013073041107,4718592
30,2,957.1803566614786,1204.0,8113,571.6564196979027,4718592
31,0,611.5466411908468,728.0,15688,411.9129873185575,4718592
31,1,1630.321527640025,2169.0,12260,941.3919735399364,4718592
31,2,957.55064980189,1204.0,9064,571.9989556572962,4718592
32,0,610.9205656051636,728.0,15688,409.94963970376034,4718592
32,1,1630.6170735359192,2169.0,9092,941.5470710323308,4718592
32,2,957.5899254480997,1204.0,9636,572.261406548807,4718592
33,0,611.333375453949,728.0,15688,409.3146903001615,4718561
33,1,1630.7898956934612,2170.0,17188,941.7764971687161,4718592
33,2,957.2558519045512,1204.0,8880,571.8193819205479,4718592
34,0,610.9187965393066,728.0,15688,407.5730652910473,4718592
34,1,1630.5585578282673,2169.0,17188,941.5870089447928,4718592
34,2,958.2386282285055,1204.0,16188,572.7656342223335,4718592
35,0,610.6268701553345,728.0,15688,406.76509643478454,4718592
35,1,1631.014793395996,2170.0,17188,941.8600927295124,4718592
35,2,957.7867124875387,1204.0,16188,572.4228264330337,4718592
36,0,610.9626522064209,728.0,12722,407.3797227391854,4718592
36,1,1631.0448463757832,2170.0,8400,941.8072750047488,4718592
36,2,958.222767829895,1204.0,12886,572.5983905566802,4718592
37,0,610.8813347816467,728.0,12372,407.3586728508959,4718592
37,1,1631.4725791613262,2170.0,7786,942.0433936138139,4718592
37,2,958.7027724583944,1204.0,16188,573.054113479491,4718592
38,0,609.8966286977133,728.0,15688,405.76689920038,4718592
38,1,1631.3559120496113,2170.0,17188,942.0381777779982,4718592
38,2,958.275476137797,1204.0,11530,572.5489767652301,4718592
39,0,610.3112637201945,728.0,15688,406.1862758905515,4718592
39,1,1631.175137201945,2170.0,9368,941.8849404505462,4718592
39,2,958.3393397331238,1204.0,11743,572.4904871929999,4718592
40,0,610.5649258295695,728.0,10647,407.100000101565,4718592
40,1,1631.5818250974019,2171.0,8344,942.1142723139914,4718592
40,2,958.2033824920654,1204.0,10590,572.5534582107326,4718592
41,0,610.2720723152161,728.0,15688,406.2758832470762,4718592
41,1,1631.6417104403179,2171.0,14459,942.1692304742156,4718592
41,2,958.105387210846,1204.0,7373,572.2812723105063,4718592
42,0,610.3506129582723,728.0,15688,407.24929379775983,4718592
