timepoint,shift_y,shift_x,error
1,0.2,0.2,1.0
2,0.1,0.3,1.0
3,0.1,0.5,1.0
4,0.1,0.4,1.0
5,0.1,0.6,1.0
6,0.2,0.8,1.0
7,0.1,0.8,1.0
8,0.0,0.4,1.0
9,-0.2,0.7,1.0
10,0.0,0.8,1.0
11,0.1,0.8,1.0
12,-0.1,0.9,1.0
13,0.1,0.7,1.0
14,0.0,1.3,1.0
15,0.1,1.1,1.0
16,0.1,1.9,1.0
17,0.1,1.7,1.0
18,0.2,2.3,1.0
19,-0.1,1.7,1.0
20,0.0,2.0,1.0
21,0.2,2.0,1.0
22,0.1,1.7,1.0
23,0.1,1.8,1.0
24,0.2,2.2,1.0
25,0.3,2.3,1.0
26,0.1,2.4,1.0
27,0.1,2.5,1.0
28,0.2,2.4,1.0
29,0.1,2.5,1.0
30,0.6,2.3,1.0
31,0.4,2.5,1.0
32,0.2,3.0,1.0
33,0.4,2.8,1.0
34,0.7,2.8,1.0
35,0.5,3.1,1.0
36,0.5,3.1,1.0
37,0.9,3.5,1.0
38,0.9,3.3,1.0
39,0.7,3.2,1.0
40,1.7,3.3,1.0
41,0.5,3.8,1.0
42,0.6,3.6,1.0
43,0.6,4.2,1.0
44,0.5,4.4,1.0
45,0.3,4.3,1.0
46,0.2,5.2,1.0
47,1.9,5.1,1.0
48,2.4,4.2,1.0
49,1.4,3.3,1.0
50,2.6,4.4,1.0
51,1.3,5.0,1.0
52,1.9,5.8,1.0
53,2.3,4.3,1.0
54,1.4,4.8,1.0
55,2.2,4.7,1.0
56,2.2,5.4,1.0
57,2.6,5.0,1.0
58,2.2,5.2,1.0
59,2.4,5.2,1.0
60,2.3,6.1,1.0
61,2.3,4.8,1.0
62,2.1,5.8,1.0
63,2.4,5.2,1.0
64,2.9,4.5,1.0
65,2.5,4.9,1.0
66,3.1,5.5,1.0
67,2.0,6.9,1.0
68,2.8,5.6,1.0
69,0.0,-0.1,1.0
70,2.9,5.0,1.0
71,2.4,6.8,1.0
72,1.9,6.3,1.0
73,2.5,6.2,1.0
74,2.4,5.7,1.0
75,2.2,6.1,1.0
76,2.0,6.1,1.0
77,4.1,6.4,1.0
78,0.1,14.3,1.0
79,2.9,6.4,1.0
80,0.1,21.1,1.0
81,2.9,6.9,1.0
82,2.9,6.2,1.0
83,2.2,7.1,1.0
84,2.8,8.8,1.0
85,3.8,6.7,1.0
86,3.5,6.9,1.0
87,2.6,7.5,1.0
88,4.2,7.7,1.0
89,3.9,8.2,1.0
90,3.1,6.4,1.0
91,48.9,80.0,1.0
92,4.0,6.2,1.0
93,3.0,6.8,1.0
94,2.9,7.9,1.0
95,3.3,8.8,1.0
96,4.4,7.7,1.0
97,3.9,6.7,1.0
98,0.1,8.7,1.0
99,0.0,9.8,1.0
100,0.1,9.3,1.0
101,0.0,9.2,1.0
102,0.0,4.3,1.0
103,3.1,6.2,1.0
104,3.8,7.1,1.0
105,4.8,7.0,1.0
106,2.6,6.3,1.0
107,4.2,7.1,1.0
108,0.0,5.1,1.0
109,2.9,6.9,1.0
110,-0.1,0.6,1.0
111,4.2,7.5,1.0
112,-0.1,6.0,1.0
113,-0.2,8.3,1.0
114,3.6,7.3,1.0
115,2.6,6.8,1.0
116,0.2,2.6,1.0
117,0.2,10.3,1.0
118,4.0,7.4,1.0
119,0.3,4.4,1.0
